id,esporte_pt
athletics,Atletismo
badminton,Badminton
basketball,Basquete
3x3-basketball,Basquete 3x3
baseball-softball,Beisebol/Softbol
boxing,Boxe
canoe-sprint,Canoagem de Velocidade
canoe-slalom,Canoagem Slalom
cycling-bmx-freestyle,Ciclismo BMX Freestyle
cycling-bmx-racing,Ciclismo BMX Racing
cycling-road,Ciclismo de Estrada
cycling-track,Ciclismo de Pista
cycling-mountain-bike,Ciclismo Mountain Bike
sport-climbing,Escalada
fencing,Esgrima
football,Futebol
artistic-gymnastics,Ginástica Artística
trampoline-gymnastics,Ginástica de Trampolim
rhythmic-gymnastics,Ginástica Rítmica
golf,Golfe
handball,Handebol
equestrian,Hipismo
hockey,Hóquei sobre Grama
judo,Judô
karate,Karatê
weightlifting,Levantamento de Peso
wrestling,Luta
marathon-swimming,Maratona Aquática
artistic-swimming,Nado Artístico
swimming,Natação
modern-pentathlon,Pentatlo Moderno
water-polo,Polo Aquático
rowing,Remo
rugby-sevens,Rugby Sevens
diving,Saltos Ornamentais
skateboarding,Skate
surfing,Surfing
taekwondo,Taekwondo
tennis,Tênis
table-tennis,Tênis de Mesa
archery,Tiro com Arco
shooting,Tiro Esportivo
triathlon,Triatlo
sailing,Vela
volleyball,Vôlei
beach-volleyball,Vôlei de Praia
