id,nome
0,3x3 Basketball
1,Archery
2,Artistic Gymnastics
3,Artistic Swimming
4,Athletics
5,Badminton
6,Baseball/Softball
7,Basketball
8,Beach Volleyball
9,Boxing
10,Canoe Slalom
11,Canoe Sprint
12,Cycling BMX Freestyle
13,Cycling BMX Racing
14,Cycling Mountain Bike
15,Cycling Road
16,Cycling Track
17,Diving
18,Equestrian
19,Fencing
20,Football
21,Golf
22,Handball
23,Hockey
24,Judo
25,Karate
26,Marathon Swimming
27,Modern Pentathlon
28,Rhythmic Gymnastics
29,Rowing
30,Rugby Sevens
31,Sailing
32,Shooting
33,Skateboarding
34,Sport Climbing
35,Surfing
36,Swimming
37,Table Tennis
38,Taekwondo
39,Tennis
40,Trampoline Gymnastics
41,Triathlon
42,Volleyball
43,Water Polo
44,Weightlifting
45,Wrestling
