id,evento,esporte
0,Feminino,3x3 Basketball,Basquete 3x3
1,Masculino,3x3 Basketball,Basquete 3x3
2,Equipe Feminina,Archery,Tiro com Arco
3,Equipe Masculina,Archery,Tiro com Arco
4,Equipe Mista,Archery,Tiro com Arco
5,Individual Feminino,Archery,Tiro com Arco
6,Individual Masculino,Archery,Tiro com Arco
7,Argolas Masculino,Artistic Gymnastics,Ginástica Artística
8,Barra Fixa Masculino,Artistic Gymnastics,Ginástica Artística
9,Barras Assimétricas Feminino,Artistic Gymnastics,Ginástica Artística
10,Barras Paralelas Masculino,Artistic Gymnastics,Ginástica Artística
11,Cavalo com Alças Masculino,Artistic Gymnastics,Ginástica Artística
12,Equipe Feminina,Artistic Gymnastics,Ginástica Artística
13,Equipe Masculina,Artistic Gymnastics,Ginástica Artística
14,Exercício de Solo Masculino,Artistic Gymnastics,Ginástica Artística
15,Geral Individual Feminino,Artistic Gymnastics,Ginástica Artística
16,Geral Individual Masculino,Artistic Gymnastics,Ginástica Artística
17,Salto Feminino,Artistic Gymnastics,Ginástica Artística
18,Salto Masculino,Artistic Gymnastics,Ginástica Artística
19,Solo Feminino,Artistic Gymnastics,Ginástica Artística
20,Trava de Equilíbrio Feminino,Artistic Gymnastics,Ginástica Artística
21,Dueto,Artistic Swimming,Nado Artístico
22,Equipe,Artistic Swimming,Nado Artístico
23,"10,000m Feminino",Athletics,Atletismo
24,"10,000m Masculino",Athletics,Atletismo
25,100m Barreiras Feminino,Athletics,Atletismo
26,100m Feminino,Athletics,Atletismo
27,100m Masculino,Athletics,Atletismo
28,110m Barreiras Masculino,Athletics,Atletismo
29,1500m Feminino,Athletics,Atletismo
30,1500m Masculino,Athletics,Atletismo
31,200m Feminino,Athletics,Atletismo
32,200m Masculino,Athletics,Atletismo
33,3000m com Obstáculos Feminino,Athletics,Atletismo
34,3000m com Obstáculos Masculino,Athletics,Atletismo
35,400m Barreiras Feminino,Athletics,Atletismo
36,400m Barreiras Masculino,Athletics,Atletismo
37,400m Feminino,Athletics,Atletismo
38,400m Masculino,Athletics,Atletismo
39,5000m Feminino,Athletics,Atletismo
40,5000m Masculino,Athletics,Atletismo
41,800m Feminino,Athletics,Atletismo
42,800m Masculino,Athletics,Atletismo
43,Arremesso de Peso Feminino,Athletics,Atletismo
44,Arremesso de Peso Masculino,Athletics,Atletismo
45,Decatlo Masculino,Athletics,Atletismo
46,Heptatlo Feminino,Athletics,Atletismo
47,Lançamento de Dardo Feminino,Athletics,Atletismo
48,Lançamento de Dardo Masculino,Athletics,Atletismo
49,Lançamento de Disco Feminino,Athletics,Atletismo
50,Lançamento de Disco Masculino,Athletics,Atletismo
51,Lançamento de Martelo Feminino,Athletics,Atletismo
52,Lançamento de Martelo Masculino,Athletics,Atletismo
53,Maratona Feminina,Athletics,Atletismo
54,Maratona Masculina,Athletics,Atletismo
55,Marcha de 20km Feminino,Athletics,Atletismo
56,Marcha de 20km Masculino,Athletics,Atletismo
57,Marcha de 50km Masculino,Athletics,Atletismo
58,Revezamento 4x100m Feminino,Athletics,Atletismo
59,Revezamento 4x100m Masculino,Athletics,Atletismo
60,Revezamento 4x400m Feminino,Athletics,Atletismo
61,Revezamento 4x400m Masculino,Athletics,Atletismo
62,Revezamento 4x400m Misto,Athletics,Atletismo
63,Salto com Vara Feminino,Athletics,Atletismo
64,Salto com Vara Masculino,Athletics,Atletismo
65,Salto em Altura Feminino,Athletics,Atletismo
66,Salto em Altura Masculino,Athletics,Atletismo
67,Salto em Distância Feminino,Athletics,Atletismo
68,Salto em Distância Masculino,Athletics,Atletismo
69,Salto Triplo Feminino,Athletics,Atletismo
70,Salto Triplo Masculino,Athletics,Atletismo
71,Duplas Femininas,Badminton,Badminton
72,Duplas Masculinas,Badminton,Badminton
73,Duplas Mistas,Badminton,Badminton
74,Individual Feminino,Badminton,Badminton
75,Individual Masculino,Badminton,Badminton
76,Beisebol,Baseball/Softball,Beisebol/Softbol
77,Softbol,Baseball/Softball,Beisebol/Softbol
78,Feminino,Basketball,Basquete
79,Masculino,Basketball,Basquete
80,Feminino,Beach Volleyball,Vôlei de Praia
81,Masculino,Beach Volleyball,Vôlei de Praia
82,Peso Leve Feminino (57-60kg),Boxing,Boxe
83,Peso Leve Masculino (57-63kg),Boxing,Boxe
84,Peso Médio Feminino (69-75kg),Boxing,Boxe
85,Peso Médio Masculino (69-75kg),Boxing,Boxe
86,Peso Meio-Médio Feminino (64-69 kg),Boxing,Boxe
87,Peso Meio-Médio Masculino (63-69kg),Boxing,Boxe
88,Peso Meio-Pesado Masculino (75-81kg),Boxing,Boxe
89,Peso Mosca Feminino (48-51kg),Boxing,Boxe
90,Peso Mosca Masculino (48-52kg),Boxing,Boxe
91,Peso Pena Feminino (54-57kg),Boxing,Boxe
92,Peso Pena Masculino (52-57kg),Boxing,Boxe
93,Peso Pesado Masculino (81-91kg),Boxing,Boxe
94,Peso Super Pesado Masculino (+91kg),Boxing,Boxe
95,Caiaque Feminino,Canoe Slalom,Canoagem Slalom
96,Caiaque Masculino,Canoe Slalom,Canoagem Slalom
97,Canoagem Feminina,Canoe Slalom,Canoagem Slalom
98,Canoagem Masculina,Canoe Slalom,Canoagem Slalom
99,Caiaque em Dupla 1000m Masculino,Canoe Sprint,Canoagem de Velocidade
100,Caiaque em Dupla 500m Feminino,Canoe Sprint,Canoagem de Velocidade
101,Caiaque em Quatro 500m Feminino,Canoe Sprint,Canoagem de Velocidade
102,Caiaque em Quatro 500m Masculino,Canoe Sprint,Canoagem de Velocidade
103,Caiaque Individual 1000m Masculino,Canoe Sprint,Canoagem de Velocidade
