codigo,nome,Primeiro uso,Observações
AFG,Afeganistão,1936,
ALB,Albânia,1972,
ALG,Argélia,1964,
AND,Andorra,1976,
ANG,Angola,1980,
ANT,Antígua e Barbuda,1960,"parte da BWI ( Federação das Índias Ocidentais) 1960
 em uso retomado em 1964"
ASA,Samoa Americana,1988,
ARG,Argentina,1920,
ARM,Armênia,1996,"parte da RUS ( Rússia) 1900–1912
 parte da URS ( União Soviética) 1924–1988
 parte da EUN ( Equipa Unificada) 1992"
ARU,Aruba,1988,
AUS,Austrália,1896,"Teddy Flack competiu como parte da GBR ( Reino Unido) 1896
 em uso 1896–1904
 parte da ANZ ( Australásia) 1908–1912
 em uso retomado em 1920"
AUT,Áustria,1896,
AZE,Azerbaijão,1992,"parte da RUS ( Rússia) 1900–1912
 parte da URS ( União Soviética) 1924–1988
 parte da EUN ( Equipa Unificada) 1992"
,,,
BAH,Bahamas,1952,
BAN,Bangladesh,1984,
BAR,Barbados,1968,parte da BWI ( Federação das Índias Ocidentais) 1960
BDI,Burundi,1996,
BEL,Bélgica,1900,
BEN,Benim,1980,DAH (Daomé) 1972
BER,Bermudas,1936,
BHU,Butão,1984,
BIH,Bósnia e Herzegovina,1992,parte da YUG ( Iugoslávia) 1920–1988
BIZ,Belize,1968,
BLR,Bielorrússia,1992,"parte da RUS ( Rússia) 1900–1912
 parte da URS ( União Soviética) 1924–1988
 parte da EUN ( Equipa Unificada) 1992"
BOL,Bolívia,1936,
BOT,Botswana,1980,
BRA,Brasil,1920,
BRN,Bahrein,1984,
BRU,Brunei,1988,
BUL,Bulgária,1896,
BUR,Burquina Fasso,1972,competiu como VOL ( Alto Volta) (1972–1984)
,,,
CAF,República Centro-Africana,1968,
CAM,Camboja,1956,
CAN,Canadá,1900,
CAY,Ilhas Caimã,1976,parte da BWI ( Federação das Índias Ocidentais) 1960
CGO,República do Congo,1964,
CHA,Chade,1964,
CHI,Chile,1896,
CHN,"China
 designação do COI: República Popular da China",1932,"República da China como "" Taiwan"" 1932–1956
 em uso desde 1979"
CIV,Costa do Marfim,1964,
CMR,Camarões,1964,
COD,República Democrática do Congo,1968,ZAI ( Zaire) 1984–1996
COK,Ilhas Cook,1988,
COL,Colômbia,1932,
COM,Comores,1996,
CPV,Cabo Verde,1996,
CRC,Costa Rica,1936,
CRO,Croácia,1992,parte da YUG ( Iugoslávia) 1920–1988
CUB,Cuba,1900,
CYP,Chipre,1980,
CZE,Chéquia,1996,"BOH ( Boémia) 1900–1912
 parte da TCH ( Tchecoslováquia) 1920–1992"
,,,
DEN,Dinamarca,1896,
DJI,Djibouti,1984,
DMA,Dominica,1996,parte da BWI ( Federação das Índias Ocidentais) 1960
DOM,República Dominicana,1964,
,,,
ECU,Equador,1924,
EGY,Egito,1912,"bandeira em uso 1912–1920 
  bandeira em uso 1924–1956
  bandeira em uso 1956-1960
 RAU ( República Árabe Unida) 1960–1968
 em uso retomado em 1972"
ERI,Eritreia,2000,
ESA,El Salvador,1968,
ESP,Espanha,1900,
EST,Estónia,1924,"parte da RUS ( Rússia) 1900–1912
 em uso 1924–1936
 parte da URS ( União Soviética) 1948–1988
 em uso retomado em 1992"
ETH,Etiópia,1956,
,,,
FIJ,Fiji,1956,
FIN,Finlândia,1908,
FRA,França,1896,
FSM,Estados Federados da Micronésia,2000,
,,,
GAB,Gabão,1972,
GAM,Gâmbia,1984,
GBR,"Reino Unido
 designação do COI: Grã-Bretanha",1896,"""Grã-Bretanha e Irlanda"" 1896–1920
 em uso desde 1924
 nos Jogos da Commonwealth as equipas competem como:
ENG (  Inglaterra)
NIR ( Irlanda do Norte)
SCO ( Escócia)
WAL (  País de Gales)"
GBS,Guiné-Bissau,1996,
GEO,Geórgia,1996,"parte da RUS ( Rússia) 1900–1912
 parte da URS ( União Soviética) 1924–1988
 parte da EUN ( Equipa Unificada) 1992"
GEQ,Guiné Equatorial,1984,
GER,Alemanha,1896,"em uso 1896–1936
  bandeira em uso 1896–1912
  bandeira em uso 1936
 dividida entre FRG ( Alemanha Ocidental)
e GDR ( Alemanha Oriental) 1952, 1968–1988
 competia como EUA ( Alemanha) 1956–1964
 uso retomado em 1992"
GHA,Gana,1952,
GRE,Grécia,1896,bandeira em uso 1896–1976
GRN,Granada,1984,parte da BWI ( Federação das Índias Ocidentais) 1960
GUA,Guatemala,1952,
GUI,Guiné,1968,
GUM,Guam,1988,
GUY,Guiana,1948,
,,,
HAI,Haiti,1924,
HKG,"Hong Kong
 designação do COI: Hong Kong, China",1952,"designado "" Hong Kong"" 1952–1996
 em uso desde 2000"
HON,Honduras,1968,
HUN,Hungria,1896,
,,,
INA,Indonésia,1952,
IND,Índia,1900,
IRI,"Irão
 designação do COI: República Islâmica do Irã/Irão",1948,
IRL,Irlanda,1924,"parte da ""Grã-Bretanha e Irlanda"" 1896–1920
 em uso desde 1924"
IRQ,Iraque,1948,
ISL,Islândia,1908,
ISR,Israel,1952,
ISV,Ilhas Virgens Americanas,1968,
ITA,Itália,1948,KIT ( Itália) em uso 1896–1936
IVB,Ilhas Virgens Britânicas,1984,parte da BWI ( Federação das Índias Ocidentais) 1960
,,,
JAM,Jamaica,1948,"em uso 1948–1956
 parte da BWI ( Federação das Índias Ocidentais) 1960
 em uso desde 1964"
JOR,Jordânia,1968,
JPN,Japão,1912,
,,,
KAZ,Cazaquistão,1996,"parte da RUS ( Rússia) 1900–1912
 parte da URS ( União Soviética) 1924–1988
 parte da EUN ( Equipa Unificada) 1992"
KEN,Quênia,1956,
